Title,Description
text_files/130210-28EFYAUCVQ-540/0.txt,"what was the first step of cousin all nations so for this case let's consider an envy and may fix a squire tres aghan we will walk through this in a ignatio and transformed the process into a set of operations at in was made cis okay now lot was the first death of ganelon so you took the matrix at and we attained a right hand side we did something to this makeweight and what did we obtain on the right hand side so i'll show you what the matrix is an area you how to get there okay all right he may want to wait for some time before you capitis because there's going to be something very interesting ferentes not what are we want to represent is nataline this maria by some other metrics such that you get this mayre okay i claim that that is the first that of goiant onkelos you why so this is made free we do not know what this may for exist let's call this see one and all we want to know what to make rehearsal the bull the entrees of made rise one by one kay now what are we do in the very first step of guinean do we change at the first equation or do we change the first row of the matrix that we don't change right now be remains as a a one an a one two till a one at right i'm sorry guess i say minimising here sir minimise here sorry it's races make rags i'm really sorry okay we get to aid tashi now we want to bow this marie one okay so let's say grace that materialistic now what are the entries of matrix as one now the first row of matrix eight haste remain unchanged right nothing happens to the first of merits which means you have to get a one one a one to all the way till a one and when you multiply marie one and mariet right so what would that mean for the first row of made ixion to recall that the ice entry of the product of two matrices is what can you write it as the dog product let's call the matrices seein a so what would be the imaginary entry or for the product of two marcian eight can you write this as a doctrine so one for an so it's the dark riette ice to a sea and jacklight so this is even right like that right that represents the ice threw off make rice right sir eros familiar destination was this use before ogre so this is the ice roof may fix and you have to computer do product which means sir it's a principles times to jason of metric eight right so this here is the jacal
"
text_files/130210-28EFYAUCVQ-540/1.txt,"it may be to anaitis notation okay to re one misses an i hear what this means here is ours corresponds to the rose of matrix sea right and then in the suchet eye at present the ice roof made we see and in our a class every rector is a column rector right so he has to transpose it okay and multiplied by jacana o that is going to be the yeomanry of the product of two minorcan ah is this winter one any questions yes selene take a simple example i say this this man laxatives at and you want to multiply sea and a that's going to be a too may to make exit with foreign trees now that's the the first entry of the product a that is nothing but the dot product of the first row and the first to of a right when we show the earnest the ruler of father matric sea all this is always going to be represented in the column was fashioned right so every victories a conrector that where you need a transpose so the first robe of sea is ginte one and to ripen like that one to its gonnaerea beuvry rector's a comic to right so this entry here the first entry is going to be the doctrines one to her and the two for her right okay and you fill in the rest of the interesting so that's why you need a transporter get great now let's sir go ahead and see you what would be the entries of the the first row of see one here okay now let for example take the one come a one entry of a price okaputa right now what's the one come or one entry is unchanged right it's a one one okay now a one one which is the one come a one entry is going to be the dor product of the first row of sea transpose right times the first gone off it is just applying a what we just saw her okay now what does the first call of a the first column of a is gane a one one and eight to one and so on all the way up to e n one right okay now what would you pick as this hardanger such that when you compute the dark trade you get a one one correct said he we one with all this right now that is just going to pick a one one can now this is not true just for the first calumet you can do the same thing for the second common a right you're going to pick the first entering second call which is this guy right so it looks like if we ride down a one zealot in the first row of er this made risen we are fine with the first row of marie very agreed then at satisfied up i was a little or into tastic gander i showed you this patrick to start with okay how about the subsequent rose all the made receive one now remember what was the step the first step and galiana not we took the second entry and made free right and surprised that from it a multiple of the first alright so you take the second of surprise from it a most able the first trip and keep doin
"
text_files/130210-28EFYAUCVQ-540/2.txt,"that okay so that is represented like this so you replace role i by this guy frontdoor eyes from two to nainsook so this is exactly the first step in those nation right so you replace each row from the second drove up to the last rope by a multiple as is a tract about il of rule one from each of those rooks okay so now tis operation can be applied using a the rest of the entries of marie one unless ye have to do that she now let say for example what happens to rot to so we take rod to and replace it by this guy orientation a cat and what is sir everton i one want right so i just wrote it as ye wot one because i ah we'll see later this representation is so useful just now how would you incorporate this operation into the matrix he one here i see that so i can write for example eight two one which is this entry here is going to modify like this romance so you get a zeal right that's what happens this guy becomes a er a what happens to this guy not eight two two of his gang be money fie said i like this gay and member for eight o two this entry is going to be what what is going to be this entry for eight two two score a want to right as is a one two and in this case this is a one an okay and you keep replacing all these entries by the corespondent preacher okay now let's take a specific column j some column here at two j right that is in between all this unless he what happens to attack so you were laced eight two j i this gayutree out a put up prime on top just to make sure that those of the replace and three okay now let's see how this can be incorporated into the matrix he one so i can write a prime to jay as this guy i'm just going to raise this equation a loveit and will see something interesting happens okay so i just stuff slipped these two terms and rode them like this now i can go ahead and had a villein it rege no one's printing you from doing that it plus as zeolites a four j right and all the way up to his veetonia looking at this expression can you write a p
"
text_files/130210-28EFYAUCVQ-540/3.txt,"to james the doric of two rectors remember a prime to j which is the product of a rich is the the seculars entry in the product of those two matrices is going to be the detroit of the second rule of sea one right and the j column of emetic eight now due have the jasko of matrix e in the expression yes can i write down this here so what would be the first entry for this rector here this guy i exactly so that's right down what would be the second and three that's when i multiply that eight to ja that happens to be a want right i ont be one what about the rest of the empress there was eroshka now if you put this into the second row of a the matrix he one would you agree that what we are basically doing us is the first step of agustin for the second roof but every one agreed to that gate the full it up so we have a b this guy for our member this is going to operate on each cambrig okay so when you do that only the first two entries mare the restaurans dears right so for example if you take the dark product of the second room here and let's say the third came right only the first two entries are going to be multiplied by nonius and that is exactly what we do ingurgitation right or you replace the second drove by a multiple of the first row and that multiple happens to be the entry in this position okay now what would the third girl so we still in step one gineration what do you do it a third row you have a multiflora third right so where do you think that multiple will go and sit you say here an the onetor the third row so that means what would you oscillate let's say ary one aware place a three one by this guyot's there a zibet so that is fine that taken care of here warbottom forenoon be this guy right so you take a the third entry in the matrix and from that you surprised a specific multiple of the entry in the first room right so and you keep doing that for the rest of the entries in the peroo matrix eight okay so this operation if you look at the entry carefully right can be written in a similar way as we did the for the second rope and you will see that the multiplier was sit exactly here okay except that you will have a zero and the one okay now multiplying this role by each share column would give you the entries of the third ruin the product may fix right and that will crepon to the guianian operation that you would do on the third rule of matrix eight now you can keep doing this you can do this step that i showed here right and fill up the entries of varatic see
"
text_files/130210-28EFYAUCVQ-540/4.txt,"see one and you will see that there sheathe increase of matrix cercy one okay now if you are a member from our last lecture as soon ask a question as to why we write on the multiplies explicitly right why should i nineteenth etiennette ariamenes shanghai you i i atone but the extent years the product of this mad race times the madrina will respond to the matrix a prime that you get after the first step of gaienthon rights or watery get after the first tap of gosain all these entries one going to change right okay now you can very fi ah by multiplying these two mares that the entries in the modified dairies a prime would correspond to the operations that we do in case inanition okay alas of first death ah that be a son a surprise of merican and matrix eight okay now it looks like a you can repeat this process for the subsequent steps in the ordination all you have to do is just right down explicitly how the entries of the metric a animate rita prime aid or fiesta or going to change or with the spicy a matrix chere okay now if you go ahead for complete this process so we got a prime i see one time a right so that's the matrice one and made rich eight and a double frame right which is to make rich that you are plain after the second step of going nation is going to be equal to a matrice two times a prime right so you take the new modified me tricks and multiplied by another matrix sea too now how is that when restored to look like now see to its god to operate on a prime right now what are the entries of a prime the change in the process of doing those in the nation is this came ian timari a or just a submarine of this yet so it's gravy concentrating on this submarine so you are going to do guyton on that submarine ah in fact these guys will all be zeros right okay so that make freshet has a similar form to the matrix ah see one right except that the multiplies now would be shifted to the right so right on the form of medication alex plain wise take that's specific forth so it's going to have one's resistin the first rob because you're not going to change the first row of further new may fix a prime right and you not got to change the second row of the new matrix a five right so you still go to have a zone there for the second rope okay and then the new multipliers or going to take position along this calm like this so this will be the multiplier corresponding to eight re two prime like that okay stood the most applies for a pounding to a for two prime will be this guy and this
"
text_files/130210-28EFYAUCVQ-540/5.txt,"keep repeating at lugo to the last entry it is going to be a and two prime and you will still have one on the main diable and the all everywhere as not an easy rate think about it as we know that in the matrix a prime you're going to operate on this base some mentis right so you can forget the first long and the first role right so when you do that do you get a mad eat loose very sooner to what we have on the top right you just have to ride on the motly here and then every where you put a one zero right as it makes him sing so you keep doing that when you do that you will see that he multiplies to keep you then okay so if you have an envy in me breaks right and let the sun that we do not do any roxane meaning or we do not encounter a serape okay so everything goes pretty smoothly if that is the case how many matters the sea would you require in order to convert a incorporating limericks correct and mine is one because see one times a asconde at this matrix so these alone zeros now gay now when you want to place two times this may trace all these entries are going to become zeros right see three times at able prime will make bisiness billowed on the third came and so on and you have to keep doing this until he got to the end minorcan right so let's ride that so you is going to be quite to do so you start with ah multiplied by sea one see two northeaster seeing in a swamp and here we are sumatra no rottnest ikwarte it simply means that we do not encounter a zero as a pilot in the prose of tingitanian now what's very important is the order of operation right to see one has to be applied first then the tube then is reason a you cannot mix these operations right now if this is what we obtain in the process of doing us no nation can you write a as the product of some matrix time demetrius you can't think of this this whole thing as made me be they say okay if you is equal to be times a what can you say about ah can you multiply by the inverse yep it's going to be be in verse you okay so you can't take a bet the other side i mean you have to multiplied from the left hand side by the inverse of you so i novoveski you multiply by being verse on boatside right you get abenberger and a beaner be is the incitement to you on no that so what we mean sister ah now let's write the inverse of be explicitly sierras are initiates great bastion ah we are soon that there are no extends right so we'll see that the inverse b will be defined a properly if there are no seperates get ungenial able that in the next den at a great question so when you do in verses right it's always a good practice to our orses whether they invest would exist or not in this case sir the inverse thus exist okay and will see under your sumption that there are
"
text_files/130210-28EFYAUCVQ-540/6.txt,"extends we will have an inverse for bed i now but i see i taste you sorry yet so is making a lot of miss leary i now you have the product of a bunch of mares and your computing the inverse have you guys seen ah a formiliar would get you to inverter so noteworthy in wars of a product of two metres is what is the price of the inverse but the matrices in the reverse order right kettelopotomachia you will have to compute the inverse of sea one first right and then you multiplied by sea to in verse i keep doing that to see and in a one inverse right that is going to be the inverse of the product of all these men to as it is have a takers and then slipped them right and multiplied by you not what would be your guess as to the structure of this complicated looking product a lord frimaire right ah but not so quick because we have to sell establish a what is the inverse of see one what is in versificated ra and after that we have this stablished that the product is indeed a lower trilobites and the beauty here is that it is a lower trimeter and not just that you will see that the lower trying a matrix will be filled up by the multipliers that we see in sea one seat to etcetera okay and we see exactly half so eight questions before we proceed further so while we did now it's basically transformed by process of donation on the equations of mastering a into a matrix operation that in wales multiplying the matric a by a bunch of lower trying rameses see one he too and all the way up to see in man a swan i keep in mind the major ses one he to a tetra or all no trying time to cease okay now how do you understand what the one in verses for example so how do we interpret these one in verse for example that is what happens when you multiply some matribus one envers okay it's a very clear as to what would happen when you multiply a matrix some metres by e when it very right but it is easy to understand this if we look at the matron he touton minus one as operators right self what does the multiplication by he when you sent if we can answer this question right then what applying by sea in verse has to do the exact opposite of what we do here right has to knowles what we do when we multiply by sea on so let's first understand what happens when we most apply by the one okay so this is what the i meant then i said see one he threw a cetera can be considers operators okay you see what operation is performed by multiplying by the one and negate that or nullify that in order to produce the operation for spalding to see one in verse okay so if you will happen when you multiply by sea one no musoline by sea one takes each rose right in forearm the second to the last drop right and what is
"
text_files/130210-28EFYAUCVQ-540/7.txt,"do it replaces each row by a specific tone and what is that to incendiis the same equation as before news what we do as we take a row and from that surprise a multiple of roon and at is what he won us and you keep doing this for all rose from two to end key now what do you think multiplication by the windwards going to do it's going to negate this effect right so it's still has to take each rose and do what a right take each roar from two to end right and add the same multiple that we have here a times re one for us to to end right so that's what happens when you multiply by see oneness so this a picture of father marty ses very interesting because it is easy to obtain the structure of the matrix one in verse just by looking at water happens when you multiply ah by see what okay self if that is the case what would be the first row of the one in verse will nothing happen right we don't do anything with the the first row the one so i just going to be one seizes now remember when we talked about sea on the second row had a negative sign for the multiplier and that corresponded to a suppression right now you want to add the multiplied to the first room so luck would you do ye just replicate the same mad races but this time all the minuses begun a plus enchanters really beautiful so you have here an eight two one divided by a one one instant of a negative a two one divided a one on an eighty one by a one one for the third entry all the way to the last entry which will be in one by an and the rest of the entries are still the same right imagistic or this is a one one are ye this guy's a one at now that what happens when you multiply some manteline inward right so you take each rod and replace that row by a multiple of the re one and added to that room okay so when you keep doing that for all the rose from two theron so it's easy to pain the testator see one in verse so what will be seen to in verse is exactly the same as a city except that you had replaced the minor signed by plain right okay so it's right down all right it here the two inverse for example and be this may rectis goin be a plus now sit and eightyone to i by eight two two prime sides of one lisselan the last entries canoe and two prime to ye by eight to two prime for forfeits is the same marie as this except that you had the negative sign me placed by passion right great now that is beautiful because so we do not have to do any complicated operations in or to find out what the inverse once he to it a draw right we were able to write down explicitly just by looking at the operation in walmington in see one and see to to get the expressions for see one in recency to inwards 
"
text_files/130210-28EFYAUCVQ-540/8.txt,"all right al first there was done we have explicit the expressions for this materies right the next step is asked the question as to wallraven when you multiply the one in verse to inverse et cetera of the seen minus an inverse okay in overt you take this lower trying emerick a want topply by this road trying meritent keep doing that until you get to see in mine as oranges to two points observe here the first point is that see one was a lower trying limericks bright and what was sir see one in verse it is also a word trying to enright so the inward of a lower trimmed race is a lower trying amenti okay in fact this is just an example that you that ah you can easily prove this using a slightly different technique cat that's the first thing not when you have two lay trying rome to sees right and you must apply them so can you old good be an upper trying time trix now the organist till here an be a lowering me to excite you can take as me lord trying me to see an you won't you multiply the wall together you will still get a lay trinacria so that's right on these impositions very useful remember this so facts about loytering lemasle first one is that as we saw there the inverse analysing the mad race to a lay trying to my tricks and you as a easily checked that the product of laying a metricians lowering larrabie here is the punch line for edication what we have here is the product of a antivari to invest the actors in my one in verse the beauty of this product is that you do not have to multiply these matrices right all you have to do is take the multipliers and put them in their respective places right for example in sea one are in sanines the multiplies were this right to demand the parsonic position here to get and the multiplier corresponding to see to in verse where this right take them and put them in the perpending position here ay somerton attend keep repeating that sissified is just beautiful right are you started with these may joses with these complicated in trees and computer product and return so that the product is nothing but a lawyer trying romanones with the moniplies taking the personi position right it is an impressive i hope so perhaps are you good at impress your a friend from the classic department in the next copperheads if you are medicis like that and was apply them and the product is just that okay it's very beautiful and that is really what makes a to the elenipsico very practical okay if if you were a compute this made rises a meaning the inverse of these matrices
"
text_files/130210-28EFYAUCVQ-540/9.txt,"ah in a straightforward way it's going to be really hard right to how many more showing in a computer now we were able to get to the product while first we've got to be in verse and then to the product of the inverse in a preformed right and this is a very useful frequently nearer okay so you will keep repeating this i mahameta again sorry this is a too for i so want ter oh it's i think it's a lot easier to deal with a small attic because when i write this mates i always keep in mind the last entry i for it down their sorry i'm really sorry the wonder so now this here is the matrix all right what it is a lower trying the metric okay and we have a asiatics you and all happens to be just the mare with the multipliers taking their respective positions right so when you do go on eatin right now inside for going through those equations what you could do as you could construct these matrices right in practice you will not construct this these mares in full because there are so many zeros that you don't want to store right but let's assume that you construct these matrices and what you would do as you would fill in the lawyer trying a load diantre by the corresponding multiplies okay and that is all dictation
"
